Atenção: Este log não está completo. Contém apenas algumas instruções. Tem partes faltando. É apenas uma pequena ajuda para a implementação.
O desafio maior é traduzir o assembly.

03:B356  4E 75  RTS                              A0=00FF184F A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B5E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
03:A7E4  08 39  BTST    #1,($00FF164E)           A0=00FF184F A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
03:A7EC  66 00  BNE     #$FFF6 [03:A7E4]         A0=00FF184F A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
03:A7F0  41 F9  LEA     ($0016943C),A0           A0=00FF184F A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
03:A7F6  43 F9  LEA     ($00FF316C),A1           A0=0016943C A1=00FF2FA8 A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
03:A7FC  24 49  MOVE.L  A1,A2                    A0=0016943C A1=00FF316C A2=00FF35AA A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
03:A7FE  4E B9  JSR     ($00003820)              A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B62 D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc

00:3820  48 E7  MOVEM.L {d0-a7}[e0 20],-(SP)     A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B5E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3824  4A 28  TST.B   $0002(A0)                A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnZvc
00:3828  67 00  BEQ     #$00A6 [00:38D0]         A0=0016943C A1=00FF316C A2=00FF316C A3=00170000 A4=00000000 A5=0003B94E A6=0003BE06 A7=00FF0B4E D0=0000E000 D1=7FF00EEE D2=0000FFFF D3=00800000 D4=940F0EEE D5=60000007 D6=00000000 D7=0000FFFF xnzvc
